0.60, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

0.60, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

0.60, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

0.60, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


0.60, 2, 2, 90, 0.10, 0.10, 2.50, 0.00, 0.40, 1, 5, 5





0.70, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

0.70, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

0.70, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

0.70, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


0.70, 2, 2, 90, 0.20, 0.20, 2.50, 0.00, 0.40, 1, 5, 5





0.80, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

0.80, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

0.80, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

0.80, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


0.80, 2, 2, 90, 0.30, 0.30, 2.50, 0.00, 0.40, 1, 5, 5





0.90, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

0.90, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

0.90, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

0.90, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


0.90, 2, 2, 90, 0.40, 0.40, 2.50, 0.00, 0.40, 1, 5, 5





1.00, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

1.00, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

1.00, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

1.00, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


1.00, 2, 2, 90, 0.50, 0.50, 2.50, 0.00, 0.40, 1, 5, 5





1.10, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

1.10, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

1.10, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

1.10, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


1.10, 2, 2, 90, 0.60, 0.60, 2.50, 0.00, 0.40, 1, 5, 5





1.20, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

1.20, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

1.20, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

1.20, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


1.20, 2, 2, 90, 0.70, 0.70, 2.50, 0.00, 0.40, 1, 5, 5





1.30, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 1, 1, 1

1.30, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 1, 2, 2

1.30, 5, 1, 45, 0.00, 0.00, 50.30, 0.00, 0.00, 1, 3, 3

1.30, 1, 1, 70, 0.00, 0.00, 8.60, 0.00, 0.00, 1, 4, 4


