
0.10, 1, 2, 70, 0.10, 0.10, 9.50, 0.00, 0.00, 0





0.20, 2, 1, 90, 0.00, 0.00, 2.50, 0.00, 0.00, 0

0.20, 1, 2, 70, 0.20, 0.20, 9.50, 0.00, 0.00, 0





0.30, 2, 1, 90, 0.00, 0.00, 2.50, 0.00, 0.00, 0
0.30, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 0

0.30, 1, 2, 70, 0.30, 0.30, 9.50, 0.00, 0.00, 0





0.40, 2, 1, 90, 0.00, 0.00, 2.50, 0.00, 0.00, 0
0.40, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 0
0.40, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 0

0.40, 1, 2, 70, 0.40, 0.40, 9.50, 0.00, 0.00, 0





0.50, 2, 1, 90, 0.00, 0.00, 2.50, 0.00, 0.00, 0
0.50, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 0
0.50, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 0
0.50, 5, 1, 45, 0.00, 0.00, 5.30, 0.00, 0.00, 0

0.50, 1, 2, 70, 0.50, 0.50, 9.50, 0.00, 0.00, 0





0.60, 2, 1, 90, 0.00, 0.00, 2.50, 0.00, 0.00, 0
0.60, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 0
0.60, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 0
0.60, 5, 1, 45, 0.00, 0.00, 5.30, 0.00, 0.00, 0

0.60, 1, 2, 70, 0.60, 0.60, 9.50, 0.00, 0.00, 0





0.70, 2, 1, 90, 0.00, 0.00, 2.50, 0.00, 0.00, 0
0.70, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 0
0.70, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 0
0.70, 5, 1, 45, 0.00, 0.00, 5.30, 0.00, 0.00, 0

0.70, 1, 2, 70, 0.70, 0.70, 9.50, 0.00, 0.00, 0





0.80, 2, 1, 90, 0.00, 0.00, 2.50, 0.00, 0.00, 0
0.80, 3, 1, 25, 0.00, 0.00, 5.80, 0.00, 0.00, 0
0.80, 4, 1, 10, 0.00, 0.00, 5.20, 0.00, 0.00, 0
0.80, 5, 1, 45, 0.00, 0.00, 5.30, 0.00, 0.00, 0

0.80, 1, 2, 70, 0.80, 0.80, 9.50, 0.00, 0.00, 0

